amountRaised,campaignTitle,currencyType,endDate,goal,numberContributors,story,url
"1,225","Skye's Spirit Wildlife, Needed Repairs to Wildlife Rehab Facility",U.S. Dollar,"Jul 6, 2019",of $20k goal,25,"Here at Skye's Spirit Wildlife Rehabilitation Center, we have
    dedicated 20 years to helping the injured and orphaned wildlife of
    our area.  Without the wonderful help from the public, friends,
    family and so many animal lovers, we wouldn't be able to keep the
    center going.  Our facility is showing it's age and has many things
    starting to break.  We just had to repair our water well/pump and
    underground lines.  Several enclosures need some serious repairs and
    replacement.  Our goal is $20,000 to help with the repairs and also
    to help with the daily care of the wildlife  I know we can do this
    with everyone's help!!  Please, every amount is a HUGE help whether
    it's $1.00 or $1,000!!!!  PLEASE SHARE and help us to reach our goal
    for the wildlife! THANKS!!! Love and light, Maryjane & Robert Angelo Skye's Spirit Wildlife Rehabilitation Center www.skyes-spirit.com 889 Farren Surrena Road. Harrisville, PA  16038. You can mail a check to the above address if you prefer",https://fundrazr.com/d1Vuhd
"2,195",Edina Pasic's Rescued Dogs JUNE Costs,Euro,,of €3.2k goal,37,"For the June pension costs for my dogs I need to raise 3000 Euro.
  This is a lot of money cause there are a lot of dogs who lost their
  sponsors. Some people asked me to save dogs from deathcamp Praca and
  promised that they'll pay for their cost until they find homes. But
  it's not my or the dogs fault that they were so traumatized in Praca
  and that they are in pension for over a year I don't have anyone who
  would take traumatized dogs out of Bosnia to foster care or to adopt
  them... Sadly I don't have contacts and I have around 30 dogs who are
  like that.... I don't know what to do... But I know that they would not survive on the streets or to be back
  in Praca... And I can't make anyone sponsor them if they say that they can't.... My heart breaks and I cry cause I can barely raise money for pensions
  and fosters and food for my old dogs and now I have to do it for the
  new ones who were abandoned by their sponsors.... I have had some bad luck in the past few months and i really do hope
  that it'll get better soon... It's June 5th today and that means that
  I have 25 days to raise this and that means that I should raise 120e
  per day and it sounds impossible but I have to try.... In the gallery you will find photos of the dogs who need your help.
  They just can´t lose their spots in pensions! They wouldn't end up on
  the streets after all that I've done, because the pension owners don't
  really want to wait long to get paid... All the pensions and pension
  owners are great with dogs however for them money is the most
  important.... No matter how cruel that sounds it's true.... So I am
  asking you, PLEASE help me so that they don't lose their spots... I love all of them the same the cuddly ones and the traumatized ones
  it's not their fault that they have been through so much trauma in
  this country, either from the dog catchers or Praca and it's not their
  fault that they need a lot of time to recover... Some of them even
  bark and growl at me but I love them still the same cause I understand
  what they've been through.... And sadly in Bosnia I don't have anyone in pensions who can work with
  dogs like that and there are a lot of dogs in pensions not just mine
  but from other rescuers and it's hard to give enough time to those
  dogs who need it the most some of my traumatized dogs are great with
  pension owners cause they are used to them and when they see me, they
  run and that makes me very sad... But they don't know that I rescued them.... So I am begging you all help me keep them safe and maybe if there is
  some luck I'll find someone who can help me find home for those
  traumatized dogs....Please please help me to raise this money for them
  I pay all pensions via bank accounts and I have all inovices from
  this... and if anyone wants to see them please pm me and I will send
  them...PLEASE HELP MY DOGS...PLEASE I AM VERY VERY DESPERATE FOR ALL
  OF THEM.... PAYPAL IS: andjeosarajevo@gmail.com just mark for PENSION FEES... Here is the list of dogs who need your help! 1. Leo - 80e 2. Freddy - 130e 3. Ado - 100e 4. Rosa
  - 80e 5. Nemo - 75e 6. Lucky-105e 7. Leo - 105e 8.
  Heidi - 105e 9. Foxy - 100e - R 10. Alesha - 80e 11.
  Josef - 80e 12. Bumble - 80e 13. Martha - 80e 14. Hope-
  130e 15. Alice- 80e 16. Lina - 105e 17. Claudio -
  80e 18. Logan - 80e 19. Shep- 80e 20. Leopold -
  80e 21. Puma - 100e 22. Flo - 100e 23. Sadie-
  80e 24. Coco - 80e 25. Ina and her puppies- 300e 26.
  Laila - 40e 27. Max - 75 28. Mucker- 75 29. Tina - 80e 30. Noel- 80e 31. Lisa - 80 32. Marley- 80 Total cost: 3005 Euro + 241 Euro  8% fee (Fundrazr, PayPal) 3246 Euro total ***************************************** Please share this Fundrazr on your Facebook wall or with your
    friends, every share helps! IMPORTANT NOTICE: You can now change the amount
    sent to Fundrazr to ZERO. ****************************************** NOTE: There are many rescues Edina is responsible for in addition to
  this list, but they are lucky enough to have sponsors. Edina Pasic of Andjeo Sarajevo is a dedicated rescuer in
  Sarajevo who helps countless of the cities strays and needy
    animals. Andjeo means 'angel' and she is a true angel to all
    those lives she touches. As a child Edina's parents loved and helped animals,
  as Edina grew older she began bringing strays home. This love for
  animals comes from her family, her upbringing and this is what she is
  teaching her own beloved son. This sweet boy will grow up to be an
  animal advocate in the future, he will teach his friends and he will
  be their voice. What a truly amazing woman and we are honoured to know her. Edina is passionate about being a voice for the voiceless, and
  cannot turn her back on animals in need, that's why many love her
  dearly (human and furry friends alike). You may have followed many of
  her rescue missions, seen the animals get emergency treatment, being
  spayed or neutered or seen a post begging help to save them and remove
  them from their dangerous situation. Many of you may have rushed in to help, and promised to
      donate to their care, but a sad fact is that many forgot about
      these furry friends, once they were safe in pension and off the
      harsh streets. These animals still need YOU! Edina simply cannot continue without financial support to
  keep her furry family safe in pension, and in order to allow her to
  help the emergencies and animals in desperate need. She is responsible
  for many lives which is a huge strain on her, and each month it is a
  huge worry about how she will raise a huge pension fee for them. Each month a few animals are re-homed and leave their pasts
  behind them, but in order to allow them this happy ever after we must
  keep them safe in pension until that day comes. Seeing these furry
  friends leave Bosnia and be welcomed into homes around the world is
  why she continues, this is her reward for saving them. Knowing that
  they will be loved, fed and happy, that's all she hopes for. ***************************************** This fundraiser is run by friends and supporters of Edina
    Pasic and her charity, Andjeo Sarajevo More about Edina Pasic More about Andjeo Sarajevo And to find out more
    about the horrors that strays experience in Bosnia please go to In Memory of Vucko Please consider a donation today. Please share and Tweet.
    Thank you for your support! Together we can make a difference!",https://fundrazr.com/41Vwy7
"2,335",Help Rebecca go Over The Edge for YWCA Charleston!,U.S. Dollar,"Jun 24, 2019",of $1.5k goal,18,,https://give.overtheedge.events/a1VMCd
"2,805",Save Ranch Hill Saloon,U.S. Dollar,"Jul 12, 2019",of $9k goal,30,"Debbie Steele the owner of Ranch Hill Saloon needs our help!
    Ranch Hill Saloon will be closing the doors within 4 weeks unless we
    can raise money for Debbie. Debbie has been in and out of the
    hospital this past year with heart complications and unfortunately
    had to decide between her health or her business. For 20 years Ranch
    Hill has been a safe place for LGBTQI to gather and meet people.
    Many of us consider this place a second home. Throughout these years
    Debbie has hosted many fundraisers for guest and non profits and she
    now needs us to help her. This bar is her only income, her heart and
    soul, her legacy. Please contribute what you can and share so we
    can  keep the doors open!! Thank you all.",https://fundrazr.com/41W7jc
"1,300",Help Hunter get moving again!,Canadian Dollar,"Aug 9, 2019",of $2.8k goal,21,"Prior to his accident in 2010, Hunter was a stand-out baseball
    player. He was a very fast left fielder and batted clean-up with a
    525 batting average and received all area honors his last season. He
    was also a very talented motocross rider. This was his passion. He
    loved everything about the sport. He skillfully worked on dirt bikes
    and understood every aspect of their maintenance and how to improve
    their performance. Hunter
    was ambitious too. At the time of his accident, he was working four
    jobs, and maintaining his GPA. His goal was to attend Tennessee
    Technological University and major in mechanical engineering. Since
    his motocross accident in 2010, which left him severely disabled, he
    enjoys working with a personal trainer at the YMCA and attending a
    weekly yoga class. He also loves riding his trike bike, playing
    games, going on community outings with the Brain Injury Services day
    program, volunteering at the foodbank, SPCA and library, and going
    on family vacations. Hunter also loves to participate in endurance
    events such as 5K's, 10k's,  and half marathons. with Ainsleys
    Angels. This summer he will participate in his first triathlon, a
    Spartan race, and a Ragnar relay.  With Ainsley's Angels inclusion
    always wins #Togetherweshall !!! Though he cannot walk, talk, or remember anything beyond ten
    minutes, his goals in life have not changed. He would still like to
    go to college and get back to riding his dirtbike.  With an Alinker,
    doors would open for him. He'd be more able to get off the sidelines
    of life by walking outdoors, maybe even use it in 5k events. Hunter
    has a lot of spasticity in his legs which causes him to have a
    severe scissor gait, if you can even call it a gait. The Alinker
    could have a huge therapeutic impact as well, providing better
    circulation to the brain and by easing the spasticity in his legs.",https://fundrazr.com/11Vdqa
"3,080","Impro Theatre's ""Pledge Drive UnScripted 2019""",U.S. Dollar,"Jul 14, 2019",of $30k goal,22,"Welcome to Pledge Drive Unscripted!  We appreciate your support.
   Check out the perks we are offering by clicking the CONTRIBUTE button
  if you are on your phone, or just scroll down. You can also click here to see the items in the Silent Auction Now in its 4th year, ""PLEDGE DRIVE
        UNSCRIPTED"" (""PDU"") benefits Impro Theatre's
      programming and operations, including Impro Theatre School and Impro Studio . Past proceeds from ""PDU"" have been
    used to accomplish things like renovating the Impro Studio with
    top-quality, modern theatrical equipment; enriching our community
    through our Ellen Idelson Diversity
    Scholarship ; and supporting our staff that maintains
    the ongoing expansion of our School, Studio operations and Main
    Company productions. This year we hope to do this: Double our Ellen Idelson diversity scholarships Significantly expand our reach with new
      equipment to stream our shows online - Watch Impro at home! Update our website Bolster our staff with plans to grow our
      School, increase diversity, and expand performing capabilities. Continue to entertain, inspire, and engage,
      while providing a joy-filled artistic home for our community. Thank you for helping Impro Theatre, but mostly,
    thank you for supporting joy! Impro Theatre is a 501(c)(3) non-profit organization, and all
    donations are tax-deductible to the fullest extent of the
    law. For more information about ""Pledge Drive UnScripted,"" click here . WHO ARE WE? ""Impro Theatre has evolved into
    a powerhouse improvisational company in full-length shows that are
    off-the-cuff and consistently hilarious. An indigenous Los Angeles
    treasure, the company should be seen — and re-seen!"" - LOS ANGELES TIMES Impro Theatre is the Main Company , the Impro Theatre
  School and the Impro Studio . We are a
  theatre company, a school and a community. MAIN COMPANY Impro Theatre’s Main Company has garnered national attention with our signature brand
  of completely improvised, full-length plays performed in the styles of
  the world’s greatest writers. Founded in 1988, as LA Theatresports,
  Impro Theatre has evolved into Los Angeles’ premiere unscripted
  theatre company. Beginning in 2003, the Main Company has performed
  sold-out shows all over Southern California and most recently
  internationally at the Dubai Fringe Festival and at Det Andre Teatret
  in Oslo, Norway. We have received multiple Ovation Recommended honors
  and Critics’ Picks in the Los Angeles Times , Back Stage and the L.A. Weekly . Our Main Company shows include Jane Austen UnScripted , Shakespeare UnScripted , Twilight Zone UnScripted , Sondheim UnScripted , Fairytales UnScripted , Chekhov UnScripted , and several more.  Every performance
  starts with audience suggestions, and each show is completely
  different. Each performance is seen only by the audience in the
  theatre on that night, making every Impro show a truly unique
  theatrical experience. IMPRO THEATRE SCHOOL Impro's Theatre’s Main Company has worked to share our unique
  approach to unscripted theatre and extend our legacy through the Impro Theatre
  School . Our curriculum teaches actors to be better
  improvisers, and it trains improvisers to be better actors. We teach
  writers how to think about narrative in new and dynamic ways, and we
  encourage everyone to continue expanding their skills while focusing
  on the importance of ensemble-based work. Our classes provide a
  comfortable, safe place for people of every age, experience level,
  background, and profession to discover the joys of improv. Everyone is
  welcomed at Impro Theatre School because we believe that everyone has
  a story to tell and that your story starts here. IMPRO STUDIO The Impro Studio is the home of narrative and genre improv. An integral
  part of the Impro Theatre School, the Studio produces and presents
  year-round performances that foster the growth of narrative
  improvisation and unscripted theatre in an intimate black box setting.
  Our programming includes the Main Company repertory, our “Impro Studio
  Presents” series (featuring shows like The Improvised Generation , Stranger Suggestions , Fantastic Tales and Oregon Trail Uncharted ) and residencies with improv groups
  Ripley and The Bearded Company. We also present productions with our
  students that reflect the genres studied at the School ( Improvised
    Rom Com , Quirky English Comedy , Improvised Chekhov , Buddy Cop , and many others) and shows that are inspired and
  produced by members of our community ( Stuck , Bobby I’m Lost , My Fantasy Apology , In the Car with Nick & Sara , and many more). With a full
  slate of shows, the Studio is an active hub that attracts new
  audiences, strengthens relationships with dedicated supporters, and
  serves as the headquarters of a devoted, burgeoning community. WHAT CRITICS SAY ABOUT IMPRO THEATRE (VIDEO): ""PLEDGE DRIVE UNSCRIPTED""
  (""PDU"") For more information, please visit us at Improtheatre.com .",https://fundrazr.com/Improtheatre
"92,056",10th Annual Eat Well Do Good Fundraiser,Canadian Dollar,"Jul 1, 2019",of $200k goal,43,"Together we can end childhood hunger. At Nature’s Path, we believe everyone has the right to healthy,
  nourishing foods – especially children. Over the last ten years, we've
  helped raise over $1.5 million worth of food for the
  Greater Vancouver Food Bank, and as proud partners, this year we’ve
  decided to focus our foodraising efforts on helping to reduce
  childhood hunger in Metro Vancouver. To mark the ten year anniversary of Eat Well Do Good on May 9th, 150
  Nature's Path team members are pledging 1000 volunteer hours over one
  day to support the Greater Vancouver Food Bank's operations, as well
  as providing over 1000 organic snack packs to elementary schools in
  Metro Vancouver. Make a difference for a child, today. 1 in 4 people who the GVFB serves is under the age of 18 Every month, the GVFB feeds nearly 1,800 children under 5
      years old Last year, the GVFB distributed 3.5 million pounds of
    food throughout the Greater Vancouver area Your donation dollars are going far! The Greater Vancouver Food Bank can purchase $3 worth of food for
  every $1 you donate. And, with every $1 you donate, Nature's Path will contribute
    an additional $5 worth of organic food , up to $200,000
  worth of organic food. Your donation will go towards the Greater Vancouver Food Bank's Kids
  Picks program, which provides supplement bags for preschoolers between
  the ages of 2 and 5 years old, as well as other services supporting
  families and community members. You will automatically receive
    a tax receipt from the Greater Vancouver Food Bank for your
    contribution of more than CAD$20. Eat Well Do Good is made possible by the support of our generous
    community partners, Save On Foods and Organic Meadow . With their donations of fresh
    organic fruit and organic milk tetra paks, we are able to donate
    more than 1000 snack packs to students at local elementary schools
    in need.",https://give.foodbank.bc.ca/EatWellDoGood2019
"3,230",Over The Edge for The Achievement Center,U.S. Dollar,"Jul 29, 2019",of $60k goal,50,"READY TO BE PART OF SOMETHING SPECIAL? EVENT
  DATE: July 26th, 2019 LOCATION: Bicentennial
      Tower at Dobbins Landing A number of brave participants will have the opportunity
    to rappel down the Bicentennial Tower , in exchange
  for donations back to The Achievement Center . How do I participate? Sign up now to become an Edger Easily set up your personal fundraising page Reach our $1000 fundraising minimum Experience the once-in-a-lifetime opportunity to rappel down the Bicentennial Tower! Any child, through any challenge,
    can achieve. For 95 years, the Achievement
    Center has provided quality therapeutic services to children and
    families who are experiencing emotional, developmental, physical or
    behavioral challenges. Sign up now , or make a donation!",https://give.overtheedge.events/AchievementCtr2019
"1,144",Help Amy go Over The Edge for Family Support Services!,U.S. Dollar,"Aug 1, 2019",of $1k goal,28,,https://give.overtheedge.events/a1Tuu8
"37,130",The Head Maze debut at Burning Man 2019,U.S. Dollar,,of $50k goal,315,"The Pier Group (responsible for The Space Whale in 2016, Embrace at
  Burning Man in 2014, and The Ship and Pier in 2011 and 2012) introduce
  our newest sculpture for Burning Man 2019: Head Maze. Head Maze is a 40 foot mediating mind, resting on one hand and
  ripping its face off to reveal a crystalline stained glass being.
  Inside of the mind is an immaculate interactive labyrinth of our
  subconscious and dreams. It's a massive collaboration dedicated to the
  complexities of cognition, our common struggle between body and mind,
  nature and nurture and our persistently fluctuating perception of
  self. A series of hidden doors in the mouth, wrists and head open into
  a 4 story, 18 room maze. Each 10 x 8 foot modular room creates a unique space dedicated to the
  nature of our minds, our struggles with being and the weird and
  fanciful process of dreaming. An interactive participatory playground
  hidden inside a beautiful monumental mind. Head Maze is our attempt to help everyone who struggles with their
  mind know that they are not alone, that we struggle too, and it’s ok
  to feel a little mad in this society. The Head Maze is being built by
  an incredible army of dedicated artists of all skill levels. And we
  can only do this with your help! Head Maze will premiere at Burning Man in 2019 then find a permanent
  home around California/Nevada. At the moment we have been lucky to raise a healthy $60,000 of our
  $190,000 goal. While we've been building this project in earnest, the
  most difficult challenge we will face is funding this sculpture. And
  this is where we need YOU! We did not receive a grant from Burning
  Man, big art is hard enough without the additional burden of raising
  funds. Your donation, regardless of size helps us to keep building and
  to keep sharing our art. Here is a high-level breakdown of the
  associated costs need to build this piece. Will you help us make the Head Maze real? Please take a look at the
  rewards and choose one that works for you. Your donation will bring us
  one step closer to finishing this dream project and sharing it with
  the world. We have a giant team and your donation will give all of us
  a big smile :). Who lives in the mind? What is it trying to share with us? We want to
  share Head maze with you. Lets cherish and care, let's discover and
  dare, let's do it together. Thank you for your time and your donation
  to our grand idea, the Head Maze.",https://fundrazr.com/TheHeadmaze
"3,435",May's fundraising appeal,Euro,,of €3.5k goal,31,"We need your help more than ever. Work is in progress to secure land
  on one of the pensions so that we can move a number of the dogs there
  and reduce monthly costs. In the meantime we have large overheads to
  care for all of the dogs in out care - on the streets and in
  accommodation. We need over 3500 euros to feed over 50 street dogs and
  lodge over 60 more in pensions in the country. This is a large
  sum but it saves the lives of over 100 dogs who might otherwise be
  poisoned, hit by cars or attacked. Your support is greatly
  valued and every donation helps. 5 euros feeds a street dog for a week 20 euros feeds a street
  dog for a month 50 euros keeps a dog safe and loved in a pension
  for a month ALL the money donated goes directly to the care of the dogs. Nothing
  is spent on overheads. I rely on friends from near and far but every
  month I struggle to raise funds. We have been struggling of late and
  really need your help to raise needed funds but also to spread the
  word. At present we only have 1400 followers. Please help us to raise
  the profile of Pico's Pack and to encourage support for these dogs. Please share this post and, if you can, please help with a donation
  or you can donate via Paypal to ivahok@orion.rs Thank you for anything you can do to help. You can read more about my work at https://www.facebook.com/Picos-Pack-115113275846750",https://fundrazr.com/01UwKe
"1,015",Help Catholic Charities go Over The Edge for United Way of Dubuque Area Tri-S...,U.S. Dollar,"Jul 1, 2019",of $1k goal,17,"Judy Wolf I proudly serve on both the Catholic Charities and United Way local
  board of directors. United Way is uniquely positioned to connect
  businesses and not-for-profits. Their strong partnerships with both
  provide financial support and volunteers for 36 programs in the
  Tri-State area. A diverse investment review panel, representing a
  cross-section of the entire community, assures that the most critical
  community needs are met. Two of Catholic Charities’ programs are among
  those benefitting from United Way participation: 1) Mental Health
  Counseling Program, providing affordable, professional services to
  individuals of all ages and circumstances; and 2) Jail & Ministry
  Program, providing mentoring and support to individuals being released
  from incarceration to assist them in positive re-entry into family and
  community life. I am excited about going over the edge to help
  secure programming for all 36 programs . . . please pledge today to
  help me be over the top of my goal . . . UNITED!",https://give.overtheedge.events/a1VIUf
"4,640",General Donations,U.S. Dollar,,of $5k goal,46,,https://fundrazr.com/Tuckergeneraldonations
"2,610",Over The Edge Muscatine,U.S. Dollar,"Sep 23, 2019",of $120k goal,42,"READY TO BE PART OF SOMETHING SPECIAL? EVENT DATE: Saturday, September 21st, 2019 LOCATION: Stanley
      Consultants' Laurel Building 101 E. 2nd St., Muscatine, IA A number of brave Edgers will have the opportunity to rappel down the Stanley Consultants' Laurel Building ,
  in exchange for donations back to Big Brothers Big Sisters Muscatine,
      Greater Muscatine Chamber of Commerce and Industry, and Special Olympics Muscatine! How do I participate? Register now to participate Easily set up your personal fundraising page Fundraise at least $1000 Experience the once-in-a-lifetime opportunity to rappel down the Stanley Consultants' Laurel Building ! About Big Brother Big Sisters of
    Muscatine County (BBBS): Our mission is to provide children facing adversity
  with strong and enduring, professionally supported 1-to-1
  relationships that change their lives for the better, forever. Our vision is that all children achieve success in
  life. We partner with parents/guardians, volunteers and other in the
  community and hold ourselves accountable for each child in our program achieving: Higher aspirations, greater confidence, and better relationships Avoidance of risky behaviors Educational success About the Greater Muscatine
    Chamber of Commerce and Industry (GMCCI): Mission: The Greater Muscatine Chamber of Commerce
  & Industry strives to advance our region's economy, improve our
  quality of life and enhance our members' success. Core Values: Leadership, Relevance, Integrity, Innovation Goals Economic Development - Promote and enhance a
    vibrant, diverse and sustainable economy through measurable
    and actionable strategies. Quality of Life - Foster and support initiatives
    that improve the quality of life for all residents of our region. Members' Success - Provide targeted products,
    services, events and programs that members consider to be
    essential elements of their success. Organization Improvement - Position GMCCI to be an
    innovative, resourceful, responsive and effective
    organizational resource for long-term sustainability of its
    members and the community. About Special Olympics Muscatine (SO): Special Olympics provides activities for people with Intellectual
  Disabilities, so they may make connections with people in their
  community.  Special Olympics is an International program of year-round
  sports and athletic competitions for children and adults
  with intellectual disabilities. Special Olympics athletes are men,
  women, boys and girls.  They are like other athletes.  They train and
  compete.  They learn to win and to lose.  They strive to do their
  best.  They inspire us. Special Olympics offers training and competition opportunities for
  every athlete, regardless of gender, age or ability.  No matter what
  the ability level, there is a benefit from Special Olympics.  No
  matter what the interest—there is a sport for you. Sign up now , or make a donation! Thank you to our Building Partner and Platinum Sponsor, Stanley Consultants!",https://give.overtheedge.events/Muscatine2019
"4,100",Partner with farmers in Malawi to save their families from starvation,Pound Sterling,"Jul 31, 2019",of £15k goal,28,"Increasing disasters such as Cyclone
    Idai are further threatening the already fragile food situation in
    Malawi, leaving many farmers unable to provide food for their
    families - increasing droughts and unreliable rain make it very
    difficult to harvest, and can drive farmers to use land close to
    rivers, more at risk from flooding. But you can partner with farmers in Malawi to enable them to
      provide food for their families in spite of increasing disasters
      by piloting a solar pump for their crops that they can build
      without external funding Eagles Relief and Development Programme 'Eagles' have been working
  with the most vulnerable in Malawi since 2003 ( http://www.eaglesmalawi.org/ ). People think hunger will end through big projects and lots of money.
  We’ve seen that doesn’t work. We know it can end through farmers, given the opportunity to use
  their creativity, who take responsibility to find their own solutions;
  and you: people who respect and treat them with dignity, believing that they can bring lasting change in their own lives .
  By giving, you become part of something that could save the lives of
    millions. What is the problem? Hunger is a devastating issue in Malawi. This year, 3.3 million
  Malawians will are at risk of starvation. 37% of children under
    5 are chronically malnourished. Irrigation is one of the best solutions as it gives a reliable water
  supply and enables a second harvest per year. However, recent
  research, including the views of farmers, has identified problems that
  prevent irrigation projects providing a lasting solution: most methods of irrigation are too expensive for farmers, leaving
    them dependent on outside help or without anything many irrigation projects only last while the organisation who ran
    the project stays as they require external maintenance many methods, such as treadle pumps, are unable to be used by the
    most vulnerable community members due to the high levels of physical
    effort to use them, including the sick, the elderly, those who are
    differently-abled and pregnant women What is our solution? Our approach to solar rope pumps meet all of these challenges, able
  to be built and maintained without external funding and used by the
  most vulnerable. Through a process of community-led design, our pilot volunteers will
  build solar rope-pumps without physical external inputs, using
  locally-available materials and upgrading them to solar when they have
  the money through village savings groups. They will be able to harvest
  twice a year, overcoming challenges of drought and unreliable rainfall
  in preparing for the regular harvest and giving access to a second
  harvest when typically there is not enough rain. We will fully build
  their capacity for its maintenance and replication, ensuring sustainability. In this two-year pilot, we want to prove that solar rope-pumps are an
  effective and sustainable way to increase food security, that they
  reach the most vulnerable and require minimal external funding. This
  evidence is vital to enable us to advocate to government, NGOs and
  private investors to replicate the approach, potentially catalysing
  change for millions of small-holder farmers across sub-Saharan Africa
  and other areas facing similar challenges. Who will benefit? We hope this approach will improve the lives of millions after we demonstrate that communities can build rope pumps
    using locally available materials and upgrade them to solar through
    savings groups, effectively improving food security without external
    funding. We will advocate to governments, o rganisations
  implementing irrigation projects a nd donors to incorporate this
    approach into their policies and practices , as well as seeing
  it spread itself through local networks. Online, all learning from the
  project will be widely disseminated and the designs made freely
  available . Without the need for external funding, the
  potential reach of this approach is huge The first to benefit will be the volunteer pilot farmers and their
  families, roughly 500 people who live in extreme poverty, below $1.90
  a day.  At least 10% will be those who would struggle with the
  physical effort required by other methods of irrigation: those who are
  differently-abled, sick, pregnant, elderly etc. The pilot village is
  in Chikwawa, a southern district that is particularly vulnerable to
  droughts. Currently those who cannot irrigate are regularly not able
  to grow enough food to feed themselves throughout the year and face starvation. Why will it work? Our innovative approach is founded on in-depth research, including a
  literature review, technical analysis & consultation with experts.
  Following an analysis of many irrigation methods, solar rope-pumps
  were identified as the most effective It builds on proven practices,
  such as the rope-pump and Eagles’ 15 years of experience facilitating
  behaviour change and partnering with the government for sustainability. Our approach is more effective and sustainable than other options,
  not only due to the low costs but due to its high potential for local
  ownership, which will ensure lasting change. We are well placed to carry out this pilot due to our 15 years’
    experience with communities and local government and technical
    expertise in key areas, including village savings and loans groups
    and the technical design and implementation of solar and irrigation technologies. The funding will cover: materials for building the prototype;
    transport to and from the village for trainings and monitoring
    visits; materials for trainings; monitoring tools (eg. equipment for
    testing pumping rates/ ground water recharge); hand borehole driller
    that communities can pass around to provide the water source;
    necessary staff salaries so they can give time to the project;
    demonstration day so we can encourage others to replicate Please email kemp_jonathan2@btinternet.com with any questions,
    or if you would like to see a more detailed budget of exactly what
    the money is being used for.",https://fundrazr.com/c1UE6c
"147,100",Support Team Philippines for the 12th ASEAN Kendo Tournament 2019,Philippine Peso,"Aug 1, 2019",of ₱200k goal,38,"Hello, my name is Claudine Umali and I am a kendo
  student in my 40s. I am raising funds for the Philippine Kendo Team who will be
    participating in the 12th ASEAN Kendo Tournament (AKT) 2019 in Jakarta . We are aiming to send 25 athletes to this competition,
    hailing from all parts of our country . Your generosity and support
    will go a long way towards provisioning our athletes with
    their training fees, tournament fees, uniforms, airfare, and
    accommodations in Indonesia. While all the Philippine kendo clubs are also working to raise
    funds through other means, we would like to utilize this online
    platform to gather funds and personally reach out to good people like you who would like to support our team. You can
    help by making a personal contribution
          and by forwarding our link to friends who
    might also like to help our cause. Thank you. Your help is much appreciated!",https://fundrazr.com/phakt2019
"6,700",Purr Pods at Burning Man 2019,U.S. Dollar,"Jun 17, 2019",of $8k goal,95,"Hello! The Purr Pods , my second
  large-scale art installation, are clawing their way to Burning Man in
  2019. This project, like last year’s Stardust , is another soothing oasis and a
  Black Rock City Honoraria Grant recipient! The Purr Pods are three large, metal, feline-shaped
  sculptures, lounging in a cluster, each in a different pose with cozy
  built-in seating. Each piece is illuminated from inside with color
  changing LEDs, some of the lights react to sound. Intense laser-like
  eyes and fiber optic whiskers give each cat a unique personality. From
  a distance, playa travelers may only see one or two of the cats at
  first but, as they get closer, they will discover the colorful
  clowder. During the day, the sculptures can provide shade as well as a
  restful place to sit. By night, the glowing eyes promise mischief and
  draw participants in to explore the curves of the cats and cuddle up
  in the bench seats. When petted, these kitties purr! My inspiration? My cats! They help me recharge when I’m feeling
  drained from too much human interaction. Petting them and feeling them
  purr in my lap is my favorite way to decompress. And it turns out
  there’s power in that purr! Power of the Purr Cats purr at luscious, vibrating frequencies, between 25 and 150
  Hertz. These frequencies are known to be therapeutic and calming. I want to create an installation that purrs and heals Black Rock City
  participants through touch and sound, transforming over-stimulated and
  stressed humans into blissed-out kitty cats. Purr Pods! Of course, not everybody digs cats. So I’d also
  like to shed some light on myths and superstitions to draw attention
  to the importance of spaying and neutering, adopting and caring for
  ferals through notes and signs placed on or throughout the installation. ""The Kitty"" - Where Do the Contributions Go? The Purr Pods received a generous grant from the Black Rock City
  Honoraria Program. I’m so thrilled and grateful…and definitely in over
  my head. Eeeee! This project is the largest I've dreamed up so far. AND it involves
  creating in so many ways that are completely new to me. When learning new things, mistakes are made. It’s part of the
  process! My mistake was underestimating my budget. The method in which
  I hope to build them has changed. Since metal sculpting is brand new to me, I’m creating wood forms to
  shape metal rod into the giant cat sculptures. These extra steps
  ensure each Purr Pod is made more efficiently. The CAD design, plywood
  and CNC costs that make this possible have exceeded the budget. The original plans included one built-in bench per Purr Pod. I’d like
  to create single seats in multiple places on each cat to increase the
  interactivity and improving the experience for participants. Transportation costs to and from the playa are also on the horizon as
  well as feeding crew members at the work parties and on playa. In
  addition, a percentage of the grant is held for deposit for potential
  services at Burning Man and to incentivize a pristine installation
  site post-event. That also reduces the amount of immediate funding for
  the build. Your Help The generous Black Rock City Honoraria Grant covers approximately 70%
  of the build so I’m asking the Burning Man community - and those who
  love us! - to help me raise the remaining funds needed to complete and
  get the Purr Pods to the playa. Thank You! Your wonderful contributions will help cover costs for additional
  construction supplies and services; create more seating for more
  people to experience the purring at the same time; secure reliable
  transportation to and from the playa; provide a cushion for unexpected
  expenses. And most importantly, you’re supporting my Zoomies (Purr
  Pods crew members) with enough tools, equipment, treats and kibble to
  make this installation roar to life. Find the Purr Pods! Facebook Instagram Twitter Flickr",https://fundrazr.com/purrpodsatburningman2019
